"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Young, Jared",676724,0.44219131438885667,0.44219131438885667,0.4048087283393576,0.7198265174928752,-0.22225076233438076,-0.46019316910899527,,,,,1488,0,1419,0,0,0,66,0,3
"Raleigh, Cal",663728,0.4228710175531407,,,,,,0.4228710175531407,-0.7182172305737081,-1.9121988757523005,3.0532871238791506,1937,1937,0,0,0,0,0,0,0
"Romo, Drew",691011,0.41679090605821173,,,,,,0.41679090605821173,0.8227145687310662,-0.05379503380192146,-0.3521286288709341,1284,1281,3,0,0,0,0,0,0
"Karros, Kyle",691720,0.4160056320954013,0.4160056320954013,-0.12256471951378933,,0.5385703516091893,,,,,,2606,0,0,0,2606,0,0,0,0
"Taylor, Tyrone",621438,0.37309952166775084,0.37309952166775084,-0.437648448537046,0.8107479702047963,,,,,,,1253,0,0,0,0,0,553,464,236
"Díaz, Elias",553869,0.29473283479865475,,,,,,0.29473283479865475,0.413047228810664,0.4579508002445196,-0.576265194256528,1167,1167,0,0,0,0,0,0,0
"McGonigle, Kevin",805808,0.156172062591964,0.156172062591964,-0.8792410293920186,-0.043444152775504535,1.0788572447594884,,,,,,3198,0,0,0,1437,1761,0,0,0
"Caballero, José",676609,0.07632610762809394,0.07632610762809394,1.0359798426254634,-1.4068771737052377,0.44722343870786785,,,,,,2527,0,0,273,309,1584,147,33,181
"McCarthy, Jake",664983,0.03254332902642996,0.03254332902642996,2.4813107910498884,-2.4487674620234636,,,,,,,2530,0,0,0,0,0,1168,1019,343
"Hernández, Heriberto",681715,0.021181644688336405,0.021181644688336405,0.8761029487454973,-0.8549213040571594,,,,,,,1955,0,0,0,0,0,1874,0,81
"Acuña, Luisangel",682668,0.0052642062267194145,0.0052642062267194145,-1.0902460299659547,0.5071290994419434,0.5883811367507311,,,,,,1517,0,0,3,0,984,9,515,0
"Peraza, Oswald",672724,-0.09197196108374406,-0.09197196108374406,-1.1817062056312748,0.12407632908232416,0.951632519075623,0.01402539638958411,,,,,2047,0,24,1447,429,147,0,0,0
